state,sex,year,population
"W.P. Kuala Lumpur",Both,2019,1782.5
"W.P. Kuala Lumpur",female,2019,867.3
"W.P. Kuala Lumpur",Male,2019,915.2
"W.P. Kuala Lumpur",Both,2020,1982.1
"W.P. Kuala Lumpur",female,2020,923.2
"W.P. Kuala Lumpur",Male,2020,1058.9
"W.P. Kuala Lumpur",Both,2021,1964
"W.P. Kuala Lumpur",female,2021,918.8
"W.P. Kuala Lumpur",Male,2021,1045.2
"W.P. Kuala Lumpur",Both,2022,1961.2
"W.P. Kuala Lumpur",female,2022,920.3
"W.P. Kuala Lumpur",Male,2022,1040.8
"W.P. Kuala Lumpur",Both,2023,2005.7
"W.P. Kuala Lumpur",female,2023,933.6
"W.P. Kuala Lumpur",Male,2023,1072.1
"W.P. Kuala Lumpur",Both,2024,2067.5
"W.P. Kuala Lumpur",female,2024,950.6
"W.P. Kuala Lumpur",Male,2024,1116.9
"W.P. Kuala Lumpur",Both,2025,2074.1
"W.P. Kuala Lumpur",female,2025,954.5
"W.P. Kuala Lumpur",Male,2025,1119.6
"W.P. Labuan",Both,2016,96.8
"W.P. Labuan",female,2016,47.9
"W.P. Labuan",Male,2016,48.9
"W.P. Labuan",Both,2017,97.6
"W.P. Labuan",female,2017,48.3
"W.P. Labuan",Male,2017,49.2
"W.P. Labuan",Both,2018,99
"W.P. Labuan",female,2018,49.1
"W.P. Labuan",Male,2018,49.9
"W.P. Labuan",Both,2019,99.3
"W.P. Labuan",female,2019,49.3
"W.P. Labuan",Male,2019,50
"W.P. Labuan",Both,2020,95.1
"W.P. Labuan",female,2020,46.2
"W.P. Labuan",Male,2020,48.9
"W.P. Labuan",Both,2021,96
"W.P. Labuan",female,2021,46.6
"W.P. Labuan",Male,2021,49.4
"W.P. Labuan",Both,2022,96.9
"W.P. Labuan",female,2022,47
"W.P. Labuan",Male,2022,49.8
"W.P. Labuan",Both,2023,99
"W.P. Labuan",female,2023,48.2
"W.P. Labuan",Male,2023,50.8
"W.P. Labuan",Both,2024,100.8
"W.P. Labuan",female,2024,49
"W.P. Labuan",Male,2024,51.8
"W.P. Labuan",Both,2025,100.9
"W.P. Labuan",female,2025,49.1
"W.P. Labuan",Male,2025,51.9
"W.P. Putrajaya",Both,2016,84.4
"W.P. Putrajaya",female,2016,45
"W.P. Putrajaya",Male,2016,39.5
"W.P. Putrajaya",Both,2017,87.5
"W.P. Putrajaya",female,2017,46.5
"W.P. Putrajaya",Male,2017,41
"W.P. Putrajaya",Both,2018,97.2
"W.P. Putrajaya",female,2018,51.5
"W.P. Putrajaya",Male,2018,45.6
"W.P. Putrajaya",Both,2019,103.7
"W.P. Putrajaya",female,2019,55.1
"W.P. Putrajaya",Male,2019,48.6
"W.P. Putrajaya",Both,2020,109.2
"W.P. Putrajaya",female,2020,55.6
"W.P. Putrajaya",Male,2020,53.6
