state,year,sex,population
Melaka,1973,both,434
Melaka,1973,female,222
Melaka,1973,male,212
Melaka,1974,both,438
Melaka,1974,female,224
Melaka,1974,male,214
Melaka,1975,both,443
Melaka,1975,female,227
Melaka,1975,male,216
Melaka,1976,both,447
Melaka,1976,female,229
Melaka,1976,male,218
Melaka,1977,both,452
Melaka,1977,female,232
Melaka,1977,male,220
Melaka,1978,both,456
Melaka,1978,female,234
Melaka,1978,male,222
Melaka,1979,both,461
Melaka,1979,female,237
Melaka,1979,male,224
Melaka,1980,both,467
Melaka,1980,female,240
Melaka,1980,male,227
Melaka,1981,both,473
Melaka,1981,female,242
Melaka,1981,male,230
Melaka,1982,both,479
Melaka,1982,female,245
Melaka,1982,male,234
Melaka,1983,both,485
Melaka,1983,female,248
Melaka,1983,male,237
Melaka,1984,both,491
Melaka,1984,female,250
Melaka,1984,male,241
Melaka,1985,both,499
Melaka,1985,female,254
Melaka,1985,male,245
Melaka,1986,both,506
Melaka,1986,female,257
Melaka,1986,male,248
Melaka,1987,both,513
Melaka,1987,female,261
Melaka,1987,male,252
Melaka,1988,both,520
Melaka,1988,female,264
Melaka,1988,male,256
Melaka,1989,both,527
Melaka,1989,female,268
Melaka,1989,male,260
Melaka,1990,both,534
Melaka,1990,female,271
Melaka,1990,male,263
Melaka,1991,both,540
Melaka,1991,female,274
Melaka,1991,male,266
Melaka,1992,both,552
Melaka,1992,female,279
Melaka,1992,male,273
Melaka,1993,both,563
Melaka,1993,female,284
Melaka,1993,male,279
Melaka,1994,both,575
Melaka,1994,female,290
Melaka,1994,male,285
Melaka,1995,both,586
Melaka,1995,female,294
Melaka,1995,male,292
Melaka,1996,both,597
Melaka,1996,female,300
Melaka,1996,male,298
Melaka,1997,both,609
Melaka,1997,female,305
Melaka,1997,male,304
Melaka,1998,both,620
Melaka,1998,female,310
Melaka,1998,male,311
Melaka,1999,both,633
Melaka,1999,female,316
Melaka,1999,male,317
Melaka,2000,both,647
Melaka,2000,female,322
Melaka,2000,male,325
Melaka,2001,both,666
Melaka,2001,female,331
Melaka,2001,male,334
Melaka,2002,both,684
Melaka,2002,female,340
Melaka,2002,male,344
Melaka,2003,both,702
Melaka,2003,female,349
Melaka,2003,male,353
Melaka,2004,both,720
Melaka,2004,female,358
Melaka,2004,male,362
Melaka,2005,both,737
Melaka,2005,female,366
Melaka,2005,male,371
Melaka,2006,both,755
Melaka,2006,female,375
Melaka,2006,male,380
Melaka,2007,both,773
Melaka,2007,female,384
Melaka,2007,male,389
Melaka,2008,both,790
Melaka,2008,female,392
Melaka,2008,male,398
Melaka,2009,both,808
Melaka,2009,female,401
Melaka,2009,male,407
Melaka,2010,both,824
Melaka,2010,female,409
Melaka,2010,male,415
Melaka,2011,both,833
Melaka,2011,female,414
Melaka,2011,male,419
Melaka,2012,both,843
Melaka,2012,female,417
Melaka,2012,male,426
Melaka,2013,both,857
Melaka,2013,female,424
Melaka,2013,male,432
Melaka,2014,both,872
Melaka,2014,female,432
Melaka,2014,male,440
Melaka,2015,both,889
Melaka,2015,female,441
Melaka,2015,male,448
Melaka,2016,both,901
Melaka,2016,female,448
Melaka,2016,male,453
Melaka,2017,both,913
Melaka,2017,female,454
Melaka,2017,male,459
Melaka,2018,both,922
Melaka,2018,female,459
Melaka,2018,male,464
Melaka,2019,both,928
Melaka,2019,female,462
Melaka,2019,male,466
Melaka,2020,both,998
Melaka,2020,female,474
Melaka,2020,male,525
Melaka,2021,both,1004
Melaka,2021,female,477
Melaka,2021,male,527
Melaka,2022,both,1009
Melaka,2022,female,480
Melaka,2022,male,529
Melaka,2023,both,1028
Melaka,2023,female,486
Melaka,2023,male,542
Melaka,2024,both,1047
Melaka,2024,female,493
Melaka,2024,male,554
Melaka,2025,both,1052
Melaka,2025,female,496
Melaka,2025,male,557
"Negeri Sembilan",1970,both,500
"Negeri Sembilan",1970,female,248
"Negeri Sembilan",1970,male,252
"Negeri Sembilan",1971,both,508
"Negeri Sembilan",1971,female,252
"Negeri Sembilan",1971,male,256
"Negeri Sembilan",1972,both,516
"Negeri Sembilan",1972,female,256
"Negeri Sembilan",1972,male,260
"Negeri Sembilan",1973,both,523
"Negeri Sembilan",1973,female,260
"Negeri Sembilan",1973,male,263
"Negeri Sembilan",1974,both,530
"Negeri Sembilan",1974,female,264
"Negeri Sembilan",1974,male,266
